length, d0, d1, d3, d5
0,0.0,0.0,0.0,0.0
1,3.0,3.0,3.0,3.0
2,2.0,2.0,2.0,2.0
3,2.0,2.0,2.0,2.0
4,9.0,6.0,6.0,6.0
5,6.0,7.0,5.0,4.0
6,6.0,8.0,5.0,4.0
7,2.0,2.0,2.0,2.0
8,10.0,10.0,7.0,5.0
9,6.0,6.0,7.0,5.0
10,8.0,6.0,9.0,6.0
11,14.0,12.0,11.0,7.0
12,2.0,2.0,2.0,2.0
13,22.0,17.0,9.0,10.0
14,2.0,2.0,2.0,2.0
15,29.0,18.0,11.0,7.0
16,18.0,14.0,9.0,13.0
17,4.0,4.0,4.0,4.0
18,4.0,4.0,4.0,4.0
19,28.0,18.0,16.0,9.0
20,22.0,16.0,14.0,8.0
21,2.0,2.0,2.0,2.0
22,4.0,4.0,4.0,4.0
23,12.0,8.0,6.0,12.0
24,16.0,10.0,10.0,6.0
25,32.0,20.0,18.0,18.0
26,22.0,14.0,12.0,12.0
27,18.0,12.0,12.0,8.0
28,8.0,6.0,8.0,8.0
29,22.0,14.0,10.0,12.0
30,22.0,14.0,10.0,12.0
31,8.0,6.0,8.0,8.0
32,16.0,10.0,10.0,6.0
33,28.0,16.0,10.0,8.0
34,10.0,8.0,10.0,10.0
35,12.0,8.0,6.0,12.0
36,14.0,10.0,8.0,14.0
37,4.0,4.0,4.0,4.0
38,38.0,22.0,14.0,18.0
39,48.0,26.0,20.0,18.0
40,4.0,4.0,4.0,4.0
41,4.0,4.0,4.0,4.0
42,10.0,8.0,10.0,10.0
43,32.0,18.0,14.0,12.0
44,4.0,4.0,4.0,4.0
45,4.0,4.0,4.0,4.0
46,4.0,4.0,4.0,4.0
47,6.0,6.0,6.0,6.0
48,32.0,18.0,14.0,12.0
49,42.0,24.0,18.0,12.0
50,60.0,32.0,18.0,20.0
51,40.0,22.0,16.0,10.0
52,32.0,18.0,14.0,12.0
53,44.0,24.0,14.0,14.0
54,70.0,38.0,22.0,20.0
55,20.0,12.0,8.0,10.0
56,72.0,38.0,24.0,22.0
57,84.0,44.0,32.0,24.0
58,26.0,16.0,14.0,16.0
59,4.0,4.0,4.0,4.0
60,14.0,10.0,8.0,14.0
61,122.0,63.0,33.0,23.0
62,72.0,38.0,24.0,22.0
63,78.0,42.0,24.0,18.0
64,4.0,4.0,4.0,4.0
65,4.0,4.0,4.0,4.0
66,8.0,6.0,8.0,8.0
67,76.0,40.0,22.0,16.0
68,96.0,50.0,30.0,28.0
69,122.0,66.0,36.0,28.0
70,96.0,50.0,30.0,28.0
71,118.0,64.0,38.0,24.0
72,120.0,66.0,40.0,26.0
73,98.0,52.0,32.0,30.0
74,104.0,54.0,34.0,34.0
75,114.0,60.0,38.0,34.0
76,120.0,64.0,42.0,28.0
77,100.0,52.0,28.0,32.0
78,90.0,48.0,30.0,20.0
79,96.0,50.0,30.0,26.0
80,66.0,36.0,24.0,16.0
81,40.0,22.0,16.0,10.0
82,58.0,32.0,22.0,18.0
83,82.0,44.0,28.0,22.0
84,90.0,48.0,30.0,20.0
85,110.0,58.0,32.0,32.0
86,62.0,34.0,20.0,22.0
87,30.0,18.0,12.0,10.0
88,66.0,36.0,24.0,16.0
89,104.0,54.0,32.0,24.0
90,40.0,22.0,16.0,10.0
91,82.0,44.0,28.0,22.0
92,56.0,30.0,20.0,16.0
93,44.0,24.0,14.0,14.0
94,66.0,36.0,24.0,16.0
95,52.0,28.0,16.0,12.0
96,10.0,8.0,10.0,10.0
97,76.0,40.0,22.0,16.0
98,106.0,56.0,34.0,26.0
99,32.0,18.0,14.0,12.0
100,126.0,66.0,36.0,26.0
101,92.0,48.0,26.0,22.0
102,94.0,50.0,28.0,24.0
103,60.0,32.0,18.0,20.0
104,126.0,66.0,36.0,26.0
105,104.0,54.0,32.0,24.0
106,88.0,46.0,28.0,18.0
107,32.0,18.0,14.0,12.0
108,20.0,12.0,8.0,10.0
