length_avg, d0_avg, d1_avg, d3_avg, d5_avg
125,48.376,26.768,17.224,14.528
250,255.296,130.928,71.168,51.872
375,385.488,196.208,103.904,74.792
500,510.0,258.632,135.672,95.096
625,651.312,329.224,170.856,118.392
750,782.288,394.624,203.728,140.784
875,441.392,223.488,116.696,81.568
1000,711.84,358.88,184.736,127.824
1125,791.488,398.736,204.784,140.544
1250,1021.12,513.552,262.112,179.536
1375,1174.176,590.288,300.24,205.36
1500,1403.44,705.056,358.192,243.456
1625,1502.432,754.384,382.776,259.68
1750,1961.184,984.048,498.56,336.912
1875,1986.08,996.352,504.128,340.496
2000,1835.504,920.848,465.76,315.832
2125,2241.736,1124.328,567.672,383.672
2250,2049.616,1028.048,519.248,352.032
2375,2385.808,1196.232,603.888,407.528
2500,2304.192,1155.184,583.216,393.472
2625,1948.368,977.192,493.336,332.976
2750,2560.856,1283.528,647.208,435.904
2875,3690.688,1849.0,931.192,626.32
3000,3826.096,1916.944,964.64,648.592
3125,3688.128,1847.488,929.84,624.976
3250,4009.088,2008.192,1010.76,678.28
3375,4095.28,2051.536,1031.856,693.176
3500,4105.424,2056.08,1034.296,695.016
3625,4761.36,2384.56,1198.64,804.528
3750,4568.96,2288.144,1150.368,772.768
3875,4806.672,2407.008,1210.176,811.424
4000,5134.464,2571.024,1292.0,866.656
4125,5213.056,2610.424,1312.064,879.552
4250,5200.272,2603.968,1309.04,877.424
4375,4795.376,2401.328,1206.896,809.952
4500,5093.68,2550.4,1281.344,859.552
4625,4946.416,2476.8,1244.464,834.496
4750,5173.904,2590.416,1301.552,872.928
4875,5304.304,2655.712,1334.208,894.152
5000,5519.84,2763.344,1388.224,930.816
5125,6078.896,3043.152,1527.6,1024.24
5250,6146.256,3076.944,1545.056,1034.592
5375,6210.144,3108.752,1560.56,1045.92
5500,5960.272,2983.696,1498.184,1003.976
5625,6556.624,3282.016,1647.664,1103.152
5750,6933.76,3470.672,1741.936,1166.56
5875,6267.52,3137.232,1575.232,1055.392
6000,6913.632,3460.544,1736.176,1162.976
6125,6770.512,3388.88,1700.752,1138.56
6250,7544.8,3776.176,1894.848,1268.784
6375,7170.144,3588.752,1800.592,1206.208
6500,6698.224,3352.512,1682.704,1127.008
6625,6898.192,3452.432,1733.152,1159.904
6750,7760.416,3883.728,1948.592,1304.432
6875,7530.08,3768.64,1890.96,1265.856
7000,7740.464,3873.904,1943.376,1301.52
7125,7602.848,3804.944,1908.768,1277.504
7250,7597.472,3802.352,1907.36,1276.352
7375,7465.056,3736.096,1874.288,1254.528
7500,8536.576,4272.0,2142.272,1434.08
7625,8814.64,4411.144,2211.72,1479.968
7750,8537.744,4272.496,2142.688,1434.224
7875,8493.072,4250.064,2131.096,1426.224
8000,9195.76,4601.736,2307.528,1544.04
8125,9399.328,4703.584,2357.792,1578.128
8250,9430.08,4718.704,2366.288,1581.672
8375,7986.768,3996.8,2004.768,1341.344
8500,9504.736,4756.176,2385.184,1595.136
8625,9401.728,4704.592,2358.864,1577.968
8750,8994.944,4500.808,2256.928,1510.0
8875,10052.592,5030.048,2521.792,1687.296
9000,10048.96,5028.224,2520.592,1685.216
9125,10404.624,5205.96,2609.096,1746.168
9250,10722.112,5365.088,2689.256,1797.72
9375,11457.696,5732.784,2873.216,1920.992
9500,10576.064,5291.6,2652.544,1773.632
9625,9970.72,4988.96,2500.848,1672.88
9750,10811.552,5409.536,2711.008,1812.816
9875,11551.504,5779.456,2896.432,1937.056
10000,11385.184,5696.512,2854.816,1909.008
10125,11324.384,5665.888,2839.712,1897.856
10250,12270.464,6139.072,3076.176,2056.352
10375,11426.352,5716.88,2864.864,1915.104
10500,11451.824,5729.52,2871.296,1919.584
10625,12187.12,6097.392,3055.696,2042.912
10750,10973.632,5490.368,2751.744,1839.344
10875,10407.904,5207.424,2610.032,1745.152
11000,11464.88,5736.128,2874.128,1920.208
11125,9740.304,4873.504,2442.528,1633.632
11250,11635.408,5821.232,2916.928,1949.808
11375,11853.392,5930.312,2971.584,1985.712
11500,12698.032,6352.944,3182.936,2127.04
11625,11703.504,5855.312,2933.648,1961.912
11750,11617.888,5812.416,2911.84,1947.2
11875,12976.544,6491.888,3252.128,2174.176
12000,13027.28,6517.392,3264.736,2182.704
12125,11549.104,5778.144,2894.8,1935.12
12250,11694.896,5850.752,2931.888,1959.408
12375,12660.528,6333.856,3173.184,2121.152
12500,12380.264,6193.784,3102.936,2073.664
12625,13440.464,6723.856,3367.968,2250.72
12750,11009.2,5507.808,2760.432,1845.04
12875,13384.992,6696.064,3354.384,2241.696
13000,14012.192,7009.84,3511.056,2346.08
13125,13976.608,6991.872,3502.512,2340.816
13250,12213.008,6110.016,3061.024,2045.392
13375,14395.408,7201.264,3607.456,2410.656
13500,14590.032,7298.624,3656.096,2442.112
13625,14952.576,7480.128,3746.16,2502.608
13750,15453.92,7730.576,3872.432,2586.896
13875,13629.184,6818.144,3415.568,2282.112
14000,14651.664,7329.568,3671.136,2451.808
14125,15418.48,7712.928,3863.296,2580.24
14250,15193.04,7600.16,3806.192,2543.344
14375,14426.208,7216.832,3614.464,2415.152
14500,16102.224,8054.896,4033.92,2695.216
14625,13716.944,6861.872,3437.792,2296.24
14750,13458.224,6732.544,3372.656,2253.648
14875,12613.904,6310.256,3161.136,2112.784
15000,15633.744,7820.64,3916.48,2616.112
15125,14569.936,7288.448,3651.008,2439.488
15250,15119.184,7563.264,3787.824,2530.84
15375,14384.064,7195.504,3604.384,2407.552
15500,15983.952,7995.568,4004.224,2674.96
15625,18194.544,9101.152,4557.568,3042.656
15750,15537.648,7772.384,3892.608,2600.32
15875,16158.368,8082.752,4048.256,2702.72
16000,16446.896,8226.928,4120.016,2751.744
16125,18573.632,9290.64,4652.064,3106.048
16250,16636.832,8322.128,4167.888,2783.136
16375,17218.048,8612.672,4312.976,2881.36
16500,17132.928,8570.0,4291.504,2866.08
16625,16093.984,8050.336,4031.824,2693.584
16750,18163.712,9085.552,4549.712,3037.696
16875,18694.64,9350.928,4682.608,3127.696
17000,16567.904,8287.424,4150.272,2772.0
17125,16538.544,8272.816,4142.56,2767.36
17250,18962.128,9484.8,4748.928,3171.408
17375,16709.504,8358.128,4185.264,2795.904
17500,16660.608,8333.632,4172.992,2787.344
17625,19555.168,9781.456,4897.088,3270.064
17750,18641.568,9324.432,4668.704,3117.536
17875,18973.6,9490.352,4751.856,3172.608
18000,17250.496,8628.64,4320.56,2886.208
18125,19371.84,9689.536,4851.776,3240.384
18250,18086.112,9046.56,4529.776,3024.896
18375,17795.2,8901.216,4456.624,2976.256
18500,19062.352,9534.848,4773.872,3188.24
18625,19585.488,9796.368,4905.104,3275.488
18750,16446.352,8226.384,4120.032,2751.808
18875,20538.384,10272.88,5143.408,3435.136
19000,20938.096,10472.736,5243.056,3501.648
19125,17183.296,8595.088,4303.52,2874.048
19250,19314.768,9660.816,4837.104,3229.232
19375,21032.096,10519.728,5266.432,3516.192
19500,19371.232,9689.216,4850.64,3239.6
19625,19860.704,9933.952,4973.504,3321.52
19750,21648.56,10827.984,5420.4,3618.736
19875,21215.136,10611.408,5312.352,3547.136
20000,21618.24,10812.72,5413.36,3614.24
20125,20151.776,10079.52,5046.272,3370.064
20250,21057.136,10532.32,5272.24,3520.064
20375,20056.16,10031.6,5021.984,3354.208
20500,20286.448,10146.64,5079.392,3392.384
20625,19902.512,9954.816,4984.048,3328.32
20750,21536.144,10771.776,5392.768,3599.632
20875,20476.32,10241.6,5127.232,3423.504
21000,20997.104,10501.968,5257.536,3510.32
21125,21516.032,10761.696,5387.536,3597.232
21250,19591.76,9799.296,4906.112,3275.568
21375,19787.472,9897.12,4954.544,3308.976
21500,21436.384,10721.808,5367.056,3583.376
21625,20543.776,10275.424,5144.128,3434.752
21750,21681.328,10844.224,5428.576,3623.584
21875,20297.216,10152.0,5082.176,3393.824
22000,22443.648,11225.504,5619.28,3752.784
22125,21393.696,10700.464,5356.512,3575.152
22250,21912.064,10959.44,5486.544,3662.464
22375,24187.296,12097.424,6055.872,4042.368
22500,23275.488,11641.376,5827.376,3890.064
22625,22619.712,11313.488,5662.96,3780.864
22750,24584.384,12295.952,6154.432,4109.312
22875,24722.368,12364.944,6189.376,4130.912
23000,26513.616,13260.752,6636.72,4429.28
23125,25282.512,12644.944,6329.088,4225.024
23250,24421.616,12214.528,6113.856,4080.896
23375,23144.752,11575.792,5794.528,3867.984
23500,27032.112,13520.064,6766.512,4517.488
23625,25072.256,12539.904,6276.384,4189.904
23750,22688.144,11347.536,5680.32,3791.632
23875,20894.0,10450.4,5231.728,3492.432
